,0
0,"['England', 'India', 'New Zealand', 'South Africa', 'Australia', 'Pakistan', 'Bangladesh', 'Sri Lanka', 'West Indies', 'Afghanistan', 'Ireland', 'Zimbabwe', 'Netherlands', 'Oman', 'Scotland', 'Nepal', 'Namibia', 'UAE', 'United States', 'Papua New Guinea', '']"
1,"['118', '115', '114', '109', '98', '87', '83', '78', '57', '49', '43', '37', '34', '30', '20', '16', '14', '12', '0']"
